Title,Nominations,Awards,Best Picture
Spotlight,6,2,"<i class=""glyphicon glyphicon-flag""></i>"
Mad Max: Fury Road,10,6,
The Revenant,12,3,
Bridge of Spies,6,1,
The Big Short,5,1,
The Danish Girl,4,1,
Room,4,1,
Ex Machina,2,1,
The Hateful Eight,2,1,
Inside Out,2,1,
Amy,1,1,
Bear Story,1,1,
A Girl in the River: The Price of Forgiveness,1,1,
Son of Saul,1,1,
Spectre,1,1,
Stutterer,1,1,
Title,Nominations,Awards,Best Picture
Birdman,9,4,"<i class=""glyphicon glyphicon-flag""></i>"
The Grand Budapest Hotel,9,4,
Whiplash,5,3,
The Imitation Game,8,1,
American Sniper,6,1,
Boyhood,6,1,
Interstellar,5,1,
The Theory of Everything,5,1,
Ida,2,1,
Selma,2,1,
Citizenfour,1,1,
Big Hero 6,1,1,
Crisis Hotline: Veterans Press 1,1,1,
The Phone Call,1,1,
Still Alice,1,1,
Feast,1,1,
Title,Nominations,Awards,Best Picture
12 Years a Slave,9,3,"<i class=""glyphicon glyphicon-flag""></i>"
Gravity,10,7,
Dallas Buyers Club,6,3,
Frozen,2,2,
The Great Gatsby,2,2,
Her,5,1,
Blue Jasmine,3,1,
Mr Hublot,1,1,
The Lady in Number 6: Music Saved My Life,1,1,
Helium,1,1,
The Great Beauty,1,1,
20 Feet from Stardom,1,1,
Title,Nominations,Awards,Best Picture
Argo,7,3,"<i class=""glyphicon glyphicon-flag""></i>"
Life of Pi,11,4,
Les Misérables,8,3,
Lincoln,12,2,
Django Unchained,5,2,
Skyfall,5,2,
Silver Linings Playbook,8,1,
Zero Dark Thirty,5,1,
Amour,5,1,
Anna Karenina,4,1,
Paperman,1,1,
Brave,1,1,
Searching for Sugar Man,1,1,
Inocente,1,1,
Curfew,1,1,
Title,Nominations,Awards,Best Picture
The Artist,10,5,"<i class=""glyphicon glyphicon-flag""></i>"
Hugo,11,5,
The Iron Lady,2,2,
The Descendants,5,1,
The Girl with the Dragon Tattoo,5,1,
Midnight in Paris,4,1,
The Help,4,1,
A Separation,2,1,
The Fantastic Flying Books of Mr. Morris Lessmore,1,1,
The Shore,1,1,
Undefeated,1,1,
The Muppets,1,1,
Saving Face,1,1,
Beginners,1,1,
Rango,1,1,
Title,Nominations,Awards,Best Picture
The King's Speech,12,4,"<i class=""glyphicon glyphicon-flag""></i>"
Inception,8,4,
The Social Network,8,3,
The Fighter,7,2,
Toy Story 3,5,2,
Alice in Wonderland,3,2,
Black Swan,5,1,
In a Better World,1,1,
The Lost Thing,1,1,
God of Love,1,1,
The Wolfman,1,1,
Strangers No More,1,1,
Inside Job,1,1,
